iExpt,valid,nll,n_plus,n_minus,n_dropped_zero_eff_plus,n_dropped_zero_eff_minus,rho0_770.dx,rho0_770.dx_error,rho0_770.mass,rho0_770.mass_error,rho0_770.width,rho0_770.width_error,omega_782.x,omega_782.x_error,omega_782.y,omega_782.y_error,omega_782.dx,omega_782.dx_error,omega_782.dy,omega_782.dy_error,rho0_1450.x,rho0_1450.x_error,rho0_1450.y,rho0_1450.y_error,rho0_1450.dx,rho0_1450.dx_error,rho0_1450.dy,rho0_1450.dy_error,f2_1270.x,f2_1270.x_error,f2_1270.y,f2_1270.y_error,f2_1270.dx,f2_1270.dx_error,f2_1270.dy,f2_1270.dy_error,f2_1270.mass,f2_1270.mass_error,f2_1270.width,f2_1270.width_error,rho0_3_1690.x,rho0_3_1690.x_error,rho0_3_1690.y,rho0_3_1690.y_error,rho0_3_1690.dx,rho0_3_1690.dx_error,rho0_3_1690.dy,rho0_3_1690.dy_error,sigma0.x,sigma0.x_error,sigma0.y,sigma0.y_error,sigma0.dx,sigma0.dx_error,sigma0.dy,sigma0.dy_error,f0_980.x,f0_980.x_error,f0_980.y,f0_980.y_error,f0_980.dx,f0_980.dx_error,f0_980.dy,f0_980.dy_error,f0_980.mass,f0_980.mass_error,f0_980.width,f0_980.width_error,chi_c0.x,chi_c0.x_error,chi_c0.y,chi_c0.y_error,chi_c0.dx,chi_c0.dx_error,chi_c0.dy,chi_c0.dy_error,f0_1370.x,f0_1370.x_error,f0_1370.y,f0_1370.y_error,f0_1370.dx,f0_1370.dx_error,f0_1370.dy,f0_1370.dy_error,f0_1370.mass,f0_1370.mass_error,f0_1370.width,f0_1370.width_error
0,True,-494071.45506631886,43695,51379,2,3,0.0009191223012322317,0.0035828187981457142,0.7717438034155256,0.0006037771586791529,0.1485372424356909,0.001384872195486539,-0.03346278876409895,0.0044637592678274845,0.10037020174622159,0.004056554759484232,0.004612862351433949,0.004171837277407649,0.01190786622341535,0.0035481493730371368,-0.2572434087440463,0.006640692544270825,0.11623745913268586,0.005431230641612953,-0.09586007309523688,0.006412033968339229,-0.006355955696422539,0.005007843894114742,0.3622562739707499,0.0052135383180725615,0.1652438996937142,0.005989590605198405,-0.05479257023522717,0.004629120684644006,-0.11674701102564883,0.0051309729249123665,1.2507206163043807,0.0014492122098761495,0.17389874782084827,0.0032907364190511296,0.10099628075449082,0.003998155783634282,0.025749896217788622,0.005050432100155563,0.04583828921484985,0.0039069328185845,0.04927170843503612,0.005012793749964687,-0.3961847904027545,0.005514732203012976,0.3569648769944821,0.005030076322085851,0.2928587584749754,0.005238547710556622,0.19793209545623955,0.004840136532032155,0.13905563375466332,0.004014410074082395,-0.014958652494601044,0.0049033805195503235,-0.05014982330375547,0.004416421152549196,-0.08265098062116584,0.003669521951979253,0.9763798688119925,0.0010849875798726316,0.049171850321728536,0.002036029584474394,0.030007148632027667,0.0037655854945351946,0.012268666049470113,0.003895558658412814,-0.0363954648607347,0.003768718803208141,-0.04464995226575759,0.003899721488817642,0.1073272132196167,0.004618173878183066,-0.022484142963739868,0.005874591928185681,0.04521406538374652,0.005051631167137286,-0.05338956062924012,0.00458457543753123,1.5042931094439995,0.004741336148020414,0.16051289262725002,0.009430124259105443
1,True,-495406.4224438125,43855,51387,3,4,0.009190633658706884,0.003572988354088238,0.769144202428487,0.0006055348016938966,0.14881521897855077,0.0013724578891386868,-0.035282318587245176,0.004505948532140468,0.09797398994317434,0.004017202798211625,0.006992428158952305,0.004239672719491063,0.010877247437330453,0.0035136996946061832,-0.27260201805182044,0.006548673764687492,0.11241249258914887,0.005596675213549661,-0.08567255501683856,0.006309084886905528,-0.017502225357589843,0.005157407353661983,0.3500432742093921,0.005413692771177669,0.18160942694937487,0.005887840481844588,-0.05244157428198259,0.004780888700088867,-0.1256424609129114,0.005030121060896292,1.2490885895795336,0.001448118098633877,0.17183132891003863,0.003217986615081478,0.09911323829093988,0.004067297014677182,0.024146485821305907,0.005103712752970738,0.05162181674720998,0.003990776304074661,0.05883137606973499,0.00506458100961691,-0.4041448450982713,0.005546487721750383,0.35320794048634785,0.005100325695225387,0.28857563476203646,0.005287964701227489,0.20551945632870874,0.0049072599476836795,0.143796414831938,0.003990339774117079,-0.013001114133860923,0.004909151952905128,-0.04782799709689052,0.004325706127382685,-0.07805004202832153,0.0036934439298927733,0.9776011255610566,0.0010721699478814517,0.049518704683301856,0.0020586893323906313,0.02530397964256905,0.0035000753734488288,0.017411239922336518,0.004197757913045916,-0.04409439835868075,0.003504180647866695,-0.04308126438192061,0.004204751017118287,0.10038878448016367,0.004552724344851998,-0.024664521972208402,0.006352128479629788,0.05139434861378824,0.004991422110139809,-0.051616932372503845,0.005018913342896022,1.5063759729414583,0.006092287445437772,0.18657818625583852,0.012002662555019278
2,True,-495785.05012560706,44124,51130,2,3,-0.0037933017861386553,0.003580141417618847,0.7712194272394712,0.0006010566683452567,0.14797340557764815,0.0013790929450055028,-0.02784005172960207,0.004457047528038362,0.09647134328929531,0.004080428671813395,0.017195433255137595,0.00416198941272908,0.01823864876780583,0.003583925314665074,-0.27345687837292393,0.006519857147416279,0.11519298683538835,0.005590294612857208,-0.0863193040141085,0.00628744344251553,1.7973805279013126e-06,0.005151806552498341,0.3462450020449961,0.005292412924213202,0.16602319580234207,0.00585710594951768,-0.05363742872785842,0.004680039884931608,-0.11586340710617292,0.0050060341861450615,1.249415426931422,0.0014171063630076253,0.16469237257279404,0.0032419129673191827,0.09810802244112557,0.004002760378508324,0.019956043567341382,0.005062030520437337,0.04618584195541459,0.00392276602759052,0.054465808479298175,0.0050307255744800276,-0.4019918163032852,0.005550704822110641,0.35973313984614086,0.005078280121180607,0.29364045222211055,0.0053026852419553044,0.21118161243940772,0.004891504037964003,0.1414747252697155,0.00392004883784337,-0.011943313266869818,0.0048786266162428316,-0.04750836526388112,0.004358687048759902,-0.08205869822661598,0.003702862341070237,0.977862814075234,0.0010403658636167212,0.048044484332212464,0.0019778642476019175,0.02953789144940712,0.003544552162489365,0.011136152491415911,0.0043349275961392895,-0.04284235176635021,0.003544413148352884,-0.03527873945950265,0.004339333809818678,0.0992839731855821,0.004677248409232509,-0.024364499032495976,0.0061611151943336,0.053962097213724886,0.005135277985265504,-0.05272814138963754,0.004937615547136356,1.5035201621398613,0.005530541333703787,0.17420774062694297,0.010726184644232181
3,True,-492072.74085375667,43513,51184,1,3,-0.00017016699246291762,0.003582042381172044,0.7709551155561196,0.0006073827416873678,0.1482602723549957,0.0013808444868655262,-0.03249637942765885,0.004475205988140736,0.08826052598357172,0.004067999812954193,0.007717191368388774,0.004184702174982685,0.013453060333115224,0.003564076787253555,-0.2727470294359216,0.0066611598962984415,0.11561808908130405,0.005627614007436924,-0.09651400399500099,0.006383161047129936,-0.012856318588390805,0.0051681367009052985,0.3584873834886412,0.005298657668779587,0.1677948223332405,0.005951407250454001,-0.061857169455957144,0.00464977773210595,-0.10730729043305683,0.0050959504239966435,1.251002203146366,0.0014487338820843298,0.17411290400791615,0.0033576614914656994,0.0966862673894589,0.004090222390737118,0.0207037972086032,0.005115592995539043,0.04444449120483886,0.003990598802658962,0.06037433650603549,0.005072505213405969,-0.4037962249932336,0.005508745956063802,0.3661631349890827,0.0051106498507404894,0.2848352234691473,0.0052648224071031825,0.19184446523002338,0.004849324977455425,0.14805085251576489,0.003950971991531518,-0.02396354353355081,0.004821589494222725,-0.05195175411496339,0.0040316494561289384,-0.07523398026196089,0.0037576304071307615,0.9746857633224714,0.0009639505420913075,0.047421994684542446,0.0019889262625847025,0.024270055838792895,0.0036017991610594966,0.017503261310169962,0.0042434168583691985,-0.041579926234249165,0.003603899254838501,-0.04047931316464978,0.0042479039289819,0.10649164820149162,0.004665012962128303,-0.022406037734969703,0.005918172053931577,0.047993175002574544,0.005087803804461467,-0.056685746841018354,0.004731315645742811,1.4993327213841399,0.004832793675595859,0.17201403057453296,0.010935641133650531
4,True,-492424.85723805544,43586,51119,2,1,-0.001599997744563142,0.00357588330327175,0.7707824737969041,0.0006073077383498271,0.1487250585816105,0.0013794150487309725,-0.029523816276926396,0.004464546979768373,0.09997265042639544,0.0040868124722395075,0.012505878485400926,0.004188531388390288,0.009062507026520209,0.0035792604547011525,-0.2787316297931251,0.006455017003837323,0.10259499492047142,0.005667074324283445,-0.08453795800406506,0.006237590872978091,-0.01574334467200998,0.005249891759982563,0.34536147780916415,0.00533951115167531,0.1729493614894936,0.0058501164361949775,-0.05073929591168087,0.004762302993839127,-0.11945095067230388,0.005014194791037732,1.2488711879276142,0.0014224209655659958,0.16638003947026156,0.003217627052886793,0.09876778819623691,0.0040334096698784305,0.017857774913316513,0.005111532432686199,0.04945880495574365,0.003955913760892188,0.05758814531005308,0.00506914131368639,-0.40294286353020764,0.005445808976590877,0.3512896284729343,0.0051031561459805915,0.2901016183376702,0.005247289779840074,0.21104005969499234,0.004937965831463327,0.13437716418819132,0.003964967258626664,-0.012239256262837086,0.004754866633050754,-0.040417086028874116,0.004418787515723881,-0.08141829374831425,0.0036293226309516524,0.9768770601547578,0.000986071117867915,0.04494214785958849,0.00203787742627164,0.02269246700511922,0.0032917276446636032,0.022448489573371085,0.004239607155266528,-0.04039245051385105,0.003293917882804545,-0.03791826523871868,0.004243241603592912,0.10230831958205545,0.004564902939125089,-0.021930227689862025,0.0061075960736468385,0.05363563331731864,0.005198079932001419,-0.06146391232735629,0.004969427841414076,1.5050371208450357,0.005571027711716914,0.18242499752193267,0.010725633091589956
5,True,-488638.18307418376,43312,51024,3,6,-0.00024223835084314976,0.0036036245701833985,0.7701510308649753,0.0006173149600571248,0.15053154011437297,0.001407349844699965,-0.031099095153714316,0.00446249306155063,0.09856627953194808,0.004100790819117819,0.006909801756663441,0.0041935111607118054,0.01502311280082383,0.0035979189289581308,-0.2656566127422269,0.006546888028635329,0.11687210546908905,0.005598284247397908,-0.09622802145790424,0.006361589554646229,-0.005163524950197044,0.005179174909505962,0.35326883243891294,0.0052857436270680345,0.18167688372086116,0.0059531851961095806,-0.05381677868637289,0.004756300414660794,-0.12591307185550743,0.005110465314784694,1.2522194986321498,0.0014278414207398171,0.16964275212216512,0.0031458130982159466,0.09918042162020795,0.004028569606327145,0.024717467705524174,0.005013884009034117,0.047283042519601526,0.003957787352789215,0.052375644492865664,0.004975365166522426,-0.40605778409055915,0.005537216582889924,0.3535011853397486,0.0050948801167396245,0.2878479533158061,0.005290819558868541,0.2092325737985979,0.004929357809505172,0.14172377573730868,0.0040527657731361895,-0.01430541498064053,0.004911400284664985,-0.042184961729787626,0.004350954257556353,-0.07542901981001296,0.0036686423918726643,0.9761691856813872,0.0010061403978892658,0.04722329835637451,0.002071138864208316,0.027720129888061076,0.0033187017556060364,0.02449350990803727,0.004461987418366895,-0.04358906600881576,0.0033217315232674537,-0.03711211727169519,0.0044663451466763595,0.09995251638007387,0.004455969421918683,-0.013129643846789803,0.005956415745746414,0.06549679498230276,0.005119047979398484,-0.05340036087114552,0.0051733350001478854,1.512862575896409,0.005068848354304212,0.16639129920345413,0.009681688129752702
6,True,-496464.4589296323,44025,51281,4,2,0.0017283450786549064,0.0035610245251770593,0.7708244459325924,0.0006035793019515401,0.14855655581254637,0.0013733435677249217,-0.029652756310133456,0.004433003169673723,0.09597503383305747,0.0040525833468359465,0.007306021728414389,0.004149959771170064,0.007241172949866388,0.0035477940473029952,-0.27502389671549043,0.006549977348117028,0.1149695746401726,0.005604899063884109,-0.088532352438387,0.006324831726013795,-0.0065976631727856444,0.0051826050988355195,0.34051295539425175,0.005350306727159022,0.17543412267103894,0.005792632711155432,-0.05069368153288418,0.004758905792779848,-0.12266797371143023,0.004949083657310617,1.2498514082840926,0.0014151007394961335,0.1653701773583278,0.0031873463267930585,0.09625170120948498,0.0039672114591308705,0.015849603694752884,0.005084926806683845,0.04674420426442543,0.0038862484719864423,0.05117090820427721,0.005048774297219253,-0.4028821605166296,0.005520266071087174,0.35948128234383103,0.0050824068233908636,0.28250112171417646,0.005260817229682589,0.2035688398130044,0.0048562176908098385,0.141575289483746,0.004008204062068818,-0.01241707127119426,0.004870621851044115,-0.04305451599242103,0.004284025700494572,-0.07542051654677857,0.00365071467527768,0.9759680754637343,0.00104340360174493,0.04781286005871951,0.002019175580400618,0.02344120260619904,0.0035198378274944615,0.017629268959570347,0.004228733125405566,-0.0414073201814922,0.0035190820742402556,-0.04029784788145638,0.004231695166278555,0.10383256867973217,0.004583027357179733,-0.019991605564958093,0.0062187941379601526,0.05341746280049829,0.005072207659066957,-0.051991117364809415,0.004936712541391113,1.5066437231578023,0.005640442570132187,0.18475597313003095,0.011428979324742294
7,True,-495248.72817905643,43930,51339,1,4,0.002156688549607215,0.003597678441428915,0.7693384978353252,0.0006007354129486941,0.1474958562337349,0.0013778024038637038,-0.03598792905025816,0.004499092444599417,0.09826525501984935,0.004068933478361777,0.0032686040094455616,0.004232646203380509,0.015494124821716776,0.003549311342830376,-0.2757937144240363,0.006840492818924771,0.12711819284695897,0.0057552777226008425,-0.08947926651325483,0.006568479710441739,-0.01056380209443737,0.005308550803949735,0.34971377162294454,0.005463399292967486,0.17324922225533013,0.005975857532792575,-0.04371900646743283,0.004838188587231212,-0.12546464414406094,0.005115704220692648,1.2504502024406488,0.0014310189272106477,0.16883414985210235,0.0032927891272344356,0.08712273929424799,0.004006650966022101,0.023999221528818452,0.005243833682776682,0.05725838960302723,0.003923168585575311,0.05322106716300851,0.005215621478583051,-0.40942887072357825,0.005548676238653874,0.3560752788011918,0.005158572098888088,0.29231708663011374,0.005274386094511181,0.20494835545964912,0.0049724683260626784,0.14902686497768677,0.003976564654682314,-0.01228906333850395,0.005019281563786397,-0.04441851197267939,0.004318749077480814,-0.08623353044664395,0.003751520515936835,0.9772653916219199,0.0010526157971667005,0.04985027434520449,0.001942372494996833,0.027920478233580705,0.0036498971088265307,0.015355895294583734,0.004281173942152539,-0.040153718165425775,0.0036527139311610373,-0.03790820785924306,0.004285028080048686,0.09371582426284082,0.005017069226061145,-0.03475619766220806,0.006189828074382651,0.043316089124692196,0.005485273159839765,-0.062355432174407636,0.004752037584424612,1.4927465606234724,0.006035981636124843,0.18047946548313887,0.010706024054355598
8,True,-493622.0174658366,43854,51144,5,5,-0.001858411157595807,0.0035967359960383696,0.770590901879126,0.0006057960769216275,0.14913285746944632,0.0014001618369604285,-0.025038690604282317,0.004443841360180419,0.09457021213308016,0.0040827003207115145,0.005498236391655751,0.004139480633657765,0.011101413173834942,0.003598284892964975,-0.2660056049883652,0.006823905814359725,0.12426876747574066,0.005656447661103916,-0.0873480742974431,0.006597390150214091,-0.000374212461940253,0.005212066444274835,0.3457659250498175,0.005428458718852863,0.1726800151492298,0.005891404767670756,-0.05297585222315256,0.004807919876313057,-0.12238741874519428,0.005038980407811976,1.2491286994029627,0.0014996609674650108,0.17545184888541512,0.0034409992010649842,0.09849702381354092,0.003926341300538019,0.016849392737851264,0.005245870370085278,0.049125495019170656,0.003850882963854863,0.052501187896875225,0.005215790567613878,-0.3987067342394703,0.005500139603122839,0.36026309259928346,0.005087002950263781,0.2887938725243483,0.005262195224033922,0.20514118664197892,0.004896643443152207,0.13999318510098144,0.004048007919050408,-0.019021467490922622,0.004925084867023922,-0.041673073494139144,0.0042939580472302515,-0.07740991773789005,0.00368669284961431,0.9757273305450868,0.0010666174924526262,0.04756448970654926,0.0020510227892624536,0.029779916170600777,0.0037790063196307374,0.01727135375274884,0.0038176157241607877,-0.03676411845283942,0.0037827920065867235,-0.0440624409190631,0.003821409294392402,0.09812674241746455,0.0050160297881671305,-0.032432866471631336,0.0059409346451938,0.051864138565341035,0.005551027546963195,-0.06451842562231823,0.004828523788991378,1.490983849558218,0.0052072787872486925,0.1721883842722701,0.009862469705886029
9,True,-494933.82581184665,43966,51236,2,4,0.005853679419464633,0.00357192576828588,0.7703393416166227,0.0006143571432977168,0.15055386832543713,0.0014041936192885768,-0.026630658457547023,0.004435035471504628,0.09593532750689047,0.004047469278861181,0.0008712870420128366,0.0041505853122946286,0.013257843718720698,0.0035620058852493435,-0.27600598410323357,0.006532640708921692,0.10858147999000588,0.0055705478133854505,-0.09025032920164767,0.006298197262725293,-0.013216230260309445,0.005137664809974385,0.3622768759412012,0.005317982732454928,0.17155037916816315,0.005909279600426431,-0.05815954139059771,0.004685099910841994,-0.11831665480910451,0.005084521914113863,1.2475473727668858,0.001429372756825087,0.17357605281324248,0.0032586284680968525,0.08753398981501455,0.004036555666920096,0.019304429829750978,0.004994638157094433,0.049428442736601325,0.003957997201902989,0.0534309100207686,0.004962202231215546,-0.40488380172367877,0.005554325766231161,0.35375734643692625,0.005098824330432924,0.27943129639849823,0.005249914156487278,0.20506290080307427,0.004884581774771885,0.1402450119642986,0.0039779909142639465,-0.015642365356260266,0.00491595848057025,-0.0437087693175595,0.004270681643395968,-0.07250454140440515,0.003671624658265953,0.9770705979325431,0.0010229298743165138,0.04656495961183427,0.0020143926130072945,0.025251871810307278,0.0036233382009796056,0.017298765833151732,0.0041925495225973095,-0.03972003546231852,0.003624034614488129,-0.04242945156946133,0.0041966550422437065,0.11132095294020315,0.004639495860318617,-0.019399614378437468,0.00615782507904083,0.05530431215055034,0.005130167938166193,-0.05360729772226029,0.004922672785675834,1.500640405024092,0.00543789510529491,0.1839292141953827,0.010421489413812782
