iExpt,valid,nll,n_plus,n_minus,n_dropped_zero_eff_plus,n_dropped_zero_eff_minus,fit_time_s,rho0_770.dx,rho0_770.dx_error,omega_782.x,omega_782.x_error,omega_782.y,omega_782.y_error,omega_782.dx,omega_782.dx_error,omega_782.dy,omega_782.dy_error,rho0_1450.x,rho0_1450.x_error,rho0_1450.y,rho0_1450.y_error,rho0_1450.dx,rho0_1450.dx_error,rho0_1450.dy,rho0_1450.dy_error,f2_1270.x,f2_1270.x_error,f2_1270.y,f2_1270.y_error,f2_1270.dx,f2_1270.dx_error,f2_1270.dy,f2_1270.dy_error,rho0_3_1690.x,rho0_3_1690.x_error,rho0_3_1690.y,rho0_3_1690.y_error,rho0_3_1690.dx,rho0_3_1690.dx_error,rho0_3_1690.dy,rho0_3_1690.dy_error,sigma0.x,sigma0.x_error,sigma0.y,sigma0.y_error,sigma0.dx,sigma0.dx_error,sigma0.dy,sigma0.dy_error,f0_980.x,f0_980.x_error,f0_980.y,f0_980.y_error,f0_980.dx,f0_980.dx_error,f0_980.dy,f0_980.dy_error,chi_c0.x,chi_c0.x_error,chi_c0.y,chi_c0.y_error,chi_c0.dx,chi_c0.dx_error,chi_c0.dy,chi_c0.dy_error,f0_1370.x,f0_1370.x_error,f0_1370.y,f0_1370.y_error,f0_1370.dx,f0_1370.dx_error,f0_1370.dy,f0_1370.dy_error
0,True,-494066.5497352907,43695,51379,2,3,,0.00019609744035182486,0.0035687338684283055,-0.03181071094441968,0.004117784439401064,0.09642700826758137,0.003583358262715986,0.0045140628019216845,0.004175571752718473,0.012018627747019553,0.003545133015911225,-0.261041983195476,0.006329749666758508,0.11645678150131297,0.005134608661966192,-0.094914121555866,0.006377487426858248,-0.0060692339476129025,0.004985554742778656,0.3602284550666099,0.0045597928310304545,0.16686743220452985,0.005009285869334576,-0.05440499669209229,0.004384815271265492,-0.11811591473906773,0.005039002570034876,0.10087420432684116,0.003936104288260563,0.026920594623460303,0.0049715047376908674,0.04612110746435682,0.0038981067853044544,0.049798638097294755,0.0049676391006896956,-0.39751195457642435,0.005082063853845596,0.3556352570731948,0.004746717657651735,0.2925651040738597,0.005000757414497124,0.2013926627896455,0.004670219127473444,0.13895413269321008,0.003863659922072758,-0.013239318955550645,0.0034938361835791117,-0.04877228470301603,0.0038185391627048645,-0.08328416954438002,0.003525816176655561,0.029945108952876116,0.0037841003194072345,0.012392789896909165,0.0038902416501567934,-0.036334433722019804,0.0037842507956572613,-0.045089567459507,0.003892680860576034,0.10635971516610712,0.004455945591796763,-0.02514246019656362,0.004006515163941362,0.04465686356853772,0.004442855265597791,-0.05473776073375721,0.004031328323478036
1,True,-495401.6979672108,43855,51387,3,4,,0.009357672287607007,0.0035620103823110747,-0.03632281701868967,0.004172214668697656,0.10108640827266915,0.0035540881838811616,0.007015624515653131,0.00423697318717211,0.010911142593851073,0.0035123741378976607,-0.27343426524845277,0.006185517229826239,0.10925872097565553,0.005287788603006282,-0.08608825942782977,0.006235748634808942,-0.017924592259475233,0.005147632626395096,0.34634114082982437,0.00466257438573701,0.18542225796064846,0.004896416367209335,-0.05120103245232742,0.004495176846037653,-0.12565930801985517,0.004928944946352309,0.09776717745803626,0.004024300968550717,0.025086782779953357,0.005005128639571417,0.05087037890929231,0.003987856045917093,0.05992780962217601,0.004997542033291676,-0.4011166242285752,0.005065269179559316,0.35270386271089593,0.004755971757543172,0.28803635533288163,0.0049744283192267235,0.2028008692726352,0.004674545276452122,0.14194390411632568,0.003751063408312896,-0.0165070006617187,0.00349718506318246,-0.049151531470914986,0.003702217977783745,-0.07697534070355799,0.0035239348322672194,0.025052693104718277,0.0035050624968154275,0.017608184834540467,0.004173505992033832,-0.04396017477142767,0.003505720621517149,-0.04329336910476564,0.004176586964175828,0.09837930255773861,0.004362110050027401,-0.027395005556428258,0.004067922716573226,0.05118928799262923,0.004351166987222125,-0.051718749784956976,0.004090323965193659
2,True,-495780.50106261624,44124,51130,2,3,,-0.004243995801451429,0.0035647928257122987,-0.025808951383553044,0.0041131426841920695,0.09417029532959209,0.003615206428918857,0.01701508825666562,0.004158638677473,0.01834054765213621,0.0035796283905590353,-0.2757641235874345,0.006162270821359049,0.11462037975176168,0.005249068484433065,-0.08646261847210215,0.006210136184465079,-0.0005982298379041564,0.00510460406335723,0.34607796469988805,0.004597147184730425,0.17034644164783316,0.004883282749472529,-0.05276769055954242,0.004437890650668657,-0.11630151764376563,0.0049093293395616995,0.09817662776211995,0.003938042610474069,0.021597409334325128,0.004966413951157462,0.045764074225286826,0.0039018627585552,0.05446574585580618,0.0049604674984640605,-0.40054873115748096,0.0051180155573035905,0.3569224802391797,0.004761416922153382,0.2924186726714936,0.005025319318696014,0.21173876348583653,0.004678264575722902,0.14069516362237436,0.00372702963897472,-0.016327329336746108,0.0035579040243166296,-0.049921471610472126,0.0036784759516597255,-0.08109882064269897,0.0035868079108860858,0.029391875871689836,0.0035676697777742034,0.011397758228348865,0.004300000655860266,-0.04238340996343715,0.003567270768022519,-0.035781658033737604,0.0043022988224048885,0.09871542754412033,0.004414687350429969,-0.024838607283708573,0.004122134086704548,0.05280876266325051,0.004403859773505949,-0.052482063739999106,0.004145454827693776
3,True,-492069.4642582771,43513,51184,1,3,,-0.0003136876431270021,0.0035675470379907125,-0.03113135262526933,0.0041265913112891245,0.08659714743158436,0.0035924105879606345,0.007719543639936166,0.004182869241295158,0.01346372646041871,0.003562311760248966,-0.27344364071701777,0.00628494978313594,0.1160493511928355,0.005252202390291271,-0.09571087139603536,0.006332775202312236,-0.012101535818083813,0.005103291914974672,0.35713201030417135,0.00459358125799853,0.16686291557160676,0.004980775857985677,-0.06151506187983468,0.004419642878657408,-0.10794534273570666,0.005006298286456635,0.09671800016158102,0.003997366546907393,0.020454640996623582,0.005011640954522402,0.04475721931262366,0.0039603229550627325,0.060294705806025604,0.0050045341353427576,-0.40757097398991937,0.005098335866665419,0.3654970740563568,0.004788063118143053,0.2846896313139629,0.004989016424872514,0.19458290283835186,0.004682632676082314,0.14920783489956835,0.003721700066190489,-0.017169834238974013,0.003559513359198169,-0.04895890514204405,0.003664757682877406,-0.07711130438157363,0.0035845307562506015,0.024351988432778502,0.0035900020876789003,0.01757472735241393,0.004246786350967908,-0.04166440916868418,0.0035902374663649675,-0.04044719250498218,0.004249737315287023,0.10706732823703355,0.004489282754047431,-0.02036978197671499,0.004144635077273793,0.049553806950312175,0.004475863948218484,-0.05627621168274988,0.004169468757398657
4,True,-492421.21234519384,43586,51119,2,1,,-0.0015896348565313078,0.0035621249241118472,-0.02888366966596403,0.004135656542329456,0.09839507491216043,0.00361464236056692,0.012473222916457154,0.004186520993583783,0.009106398712015306,0.0035768013322457857,-0.2803352989550057,0.006086551698827912,0.10270095124353439,0.005320796703775529,-0.08513527423651042,0.006132459789829792,-0.016758610464503755,0.0051901047759667016,0.3438036114354996,0.004650969455852708,0.17751306678378462,0.0048867032214413375,-0.049621086199504706,0.0044932645185358075,-0.11926225177892433,0.004916217448651054,0.09836146459743583,0.003977256626032243,0.019234487136438702,0.005006507632133343,0.04880394430934098,0.003940306981293416,0.05786615183738501,0.004998222069232881,-0.402579994586792,0.0050607034235649676,0.35005790945801063,0.004795719941661134,0.29020459968579204,0.004972528656866459,0.210527330662401,0.004734231801746389,0.13532097040335767,0.0038249461888643635,-0.013398753878790045,0.003517925276698866,-0.042294032018632195,0.003776423544118954,-0.08190792568140058,0.003549113903013817,0.022558248404893146,0.003303588597379528,0.02251238068590248,0.004225192942189404,-0.04019053811607986,0.003304228085233736,-0.03813472121597965,0.00422780311395274,0.10181144714911368,0.004397615784325439,-0.023872185745175998,0.004097962253514766,0.05186238928682604,0.004385439291635218,-0.06149093812963774,0.0041255266774460906
5,True,-488634.64843965624,43312,51024,3,6,,-0.00010294594075361827,0.0035969339579842484,-0.03310550278853576,0.004138747470422596,0.097834540584671,0.00363762935572368,0.006810558850220374,0.004198296892021519,0.015150223684384487,0.003598766637631442,-0.26598483681531343,0.0063085136961157405,0.11877124109983281,0.005329481707157759,-0.09793394186982979,0.006358710322714139,-0.0066496459093813845,0.005176969803454517,0.35461661124679783,0.00463673135976943,0.17907077537622065,0.005035350319054327,-0.05679295870605081,0.004468454689168343,-0.1243251934025988,0.005065137405855617,0.09915551378244744,0.003979440821890752,0.024939424118334965,0.004984281348582146,0.0470988616053854,0.003940931132833056,0.053044126375860555,0.004978316620923389,-0.4050150074951507,0.005157598667568618,0.35523460713533017,0.004804258415502926,0.2901542596043114,0.005044428794441238,0.2081116672682171,0.004739245402078226,0.1432801611638026,0.003927769133556797,-0.014025407263870592,0.0035294541274436607,-0.041669474399520165,0.003873262970913048,-0.07627893135650253,0.003556264241279998,0.02780554276135611,0.0033278224473713876,0.02402273391498916,0.004475456661417355,-0.043948652121757845,0.0033282412850218963,-0.03712933289269829,0.00447794526736516,0.09934315233038746,0.004500335029713472,-0.021820126991765058,0.004146610868916787,0.05913202357564333,0.004487612944248899,-0.0597619593165109,0.004174334151664664
6,True,-496460.9623656173,44025,51281,4,2,,0.0015172062458553336,0.0035480042177773075,-0.028751881752852402,0.004096378117013883,0.09446779668173075,0.00358159062551912,0.007306875905269558,0.004147705495286008,0.007290675624141134,0.0035449372439523815,-0.27682491371207074,0.006209472664382929,0.11453560783712334,0.005306137728052202,-0.08932621204768279,0.006261897271583885,-0.007704056800691729,0.005160319094213788,0.3389982417452473,0.004649083827594488,0.17841845229127584,0.004834036039577424,-0.050626878789271385,0.00449796992313737,-0.12233281489635073,0.004864061105244294,0.09554492089018249,0.0039131024615148505,0.017493141606863775,0.005004400170237779,0.0459240460665238,0.0038772087478932665,0.05171246387617257,0.004997958527124225,-0.403261968459261,0.005059881968041801,0.356593004939249,0.004744483753379221,0.2812692442586136,0.004956650554539884,0.20354176502465768,0.004658493635734712,0.1419565409574017,0.0038327844535024666,-0.011588776100621466,0.003476375687190417,-0.0421775299711073,0.0037804279888172037,-0.07601907968540866,0.0035019363749893514,0.02322395257705716,0.0035243426190542737,0.017805341038481092,0.004202288484716408,-0.04111885848674754,0.0035246040358836435,-0.04048983592496535,0.0042051448530272114,0.1031832237438064,0.00443040988712473,-0.022298203409688612,0.004128007912340641,0.05086717108784655,0.004417062210764517,-0.05347821721808418,0.004152397665049842
7,True,-495245.0639610515,43930,51339,1,4,,0.0023582136701178957,0.0035809693369574787,-0.03513567792288581,0.004160174691420037,0.10155631225707248,0.0035895193610970947,0.0034478565017042936,0.00422328936459924,0.015325602369304676,0.00354745417974805,-0.2730711360106038,0.00644064668956475,0.12525866985636822,0.0053691339869700655,-0.0890216611219202,0.006495842807066591,-0.00970486810243741,0.0052063601538221765,0.3513235495413901,0.004651990290205044,0.17266390452905192,0.004998776204554438,-0.04259051573734629,0.0044831600408183885,-0.1258718964799533,0.005038445550302566,0.08772855875806741,0.003918813332662881,0.02326767535372168,0.005127410474449224,0.057559786019904434,0.00388739506247199,0.05218027560944396,0.005121961461639342,-0.40863395606752717,0.005076842609725292,0.3554395822641825,0.004819290272512694,0.29030457859040526,0.004972276570784032,0.20397618067553558,0.0047388908870773,0.14667653633456315,0.0037526164022468056,-0.01472784812844775,0.0035307552158847007,-0.0457067952626961,0.003696361977685114,-0.08410004458673355,0.003562070322545313,0.02770835417872419,0.003591913340897585,0.01572981100273023,0.004271051450313669,-0.04007174214239013,0.0035925671862503225,-0.037500898755167766,0.004272727514915346,0.09600996318345309,0.004517715494307531,-0.026455942552198793,0.00404518145795125,0.04797912064534395,0.004507799139753397,-0.05793480150621563,0.004071212193478589
8,True,-493617.56682965485,43854,51144,5,5,,-0.0019527606365370258,0.0035770876415692067,-0.025069047917948752,0.004095613811322126,0.09334311298123067,0.003636066336095573,0.005579295059688415,0.004141148409544023,0.011039855225646015,0.0035971418898944085,-0.2663635089268958,0.006445749050767027,0.12517907712264092,0.0052718600737475954,-0.08535143811243927,0.006502411181841402,0.001312625703288521,0.00511007480773109,0.34331150656039344,0.004667515388662522,0.17507027057179017,0.004908105265967176,-0.04969135705773466,0.0045152006139849285,-0.12425268626688776,0.004938049037794076,0.09852904937961515,0.00385505633643596,0.01574823316610367,0.005110268358250147,0.04981464257423656,0.0038170612357621594,0.05206953575311771,0.005102571241847138,-0.40301417802365713,0.005083261985140276,0.36087182230918785,0.0047953419530091185,0.2871969907700995,0.0049780024084425676,0.20757942879813202,0.004705569199168061,0.1399124445554331,0.003844157598766721,-0.014621518674760994,0.0035471333067517677,-0.04012174140912267,0.003790499637346252,-0.07769255678565246,0.003573085205978294,0.02985422063834041,0.003753461772219157,0.017645104081111886,0.0038012293806874093,-0.036790887338368834,0.0037546267794564387,-0.044105446738683975,0.0038041670810184244,0.09995083588150179,0.004583894263660787,-0.024542117389032905,0.004179647415062622,0.05870046542348152,0.004571621862915955,-0.058898017130277515,0.0042074861056742175
9,True,-494929.21168624447,43966,51236,2,4,,0.005727804420196958,0.003559408080232967,-0.028560753569054912,0.004104090704267419,0.09459627399471598,0.003599153375882588,0.0008556232376746984,0.004155874616871287,0.01333406235410508,0.003562541154349308,-0.2785583979004184,0.006156884692505246,0.10955563487765879,0.005234883138891991,-0.0893616834604221,0.006198809839266494,-0.013147928121543771,0.005097315887305597,0.357051600952702,0.004628736862005288,0.1786202867623976,0.004944230756558619,-0.05494320544495787,0.004451716369706392,-0.11974491192326342,0.0049699885085786695,0.08625765959959052,0.003972249754892605,0.019753941015461123,0.004891683136848373,0.04912742376750274,0.003941508187005745,0.05409789010115573,0.00488590341399185,-0.40629255104726547,0.005114348202927824,0.35417255079543464,0.004779797018242233,0.27859881945655146,0.004992571875822699,0.20456932023330332,0.004695560433092455,0.14003366458850233,0.003817223387784199,-0.016149897527876763,0.0035307758982301004,-0.04482761384815628,0.003766644974322432,-0.07284923407338849,0.003554091620708935,0.025240602045180218,0.003634177308897174,0.01763980966590778,0.004171543853433813,-0.039612953369862335,0.0036335844710008516,-0.04268849841469068,0.004174907536833584,0.109910538866891,0.004397870857247495,-0.019060848320762633,0.004129777965248758,0.0573375256514257,0.00438420215986269,-0.05107300781529443,0.004152737285828713
